University_Name,Alumni,Staff,Hici,N&S,PUB,PCP
China University of Geosciences Beijing,0,0,13,5.9,36.4,19.5
China University of Petroleum (East China),0,0,14.6,2,40.8,16.8
University College Dublin,0,0,9.2,10.7,38.5,17.4
Qingdao University,0,0,14.6,3.6,48.1,16.1
University of Liege,5.2,0,9.2,13,31.2,25.6
University of Regensburg,0,0,9.2,17.3,24.6,27.2
Guangdong University of Technology,0,0,19.5,1.4,44.2,15.7
University of Jena,0,0,9.2,11.9,30.7,27.7
University of Ulm,0,0,15.9,9.9,29.1,32.8
Charles University in Prague,0,0,6.5,11.3,45.9,20.4
"University of Maryland, Baltimore",0,0,13,13.1,37.1,16.3
Dartmouth College,19.4,0,9.2,14.3,28.2,23.2
University of Hawaii at Manoa,0,0,13,14.7,33,20.5
Stony Brook University,0,0,9.2,13.8,34.9,15.5
University of Kansas,16.4,0,9.2,9.4,38,14.2
University of Notre Dame,11.6,0,13,12.1,29.9,19.4
University of South Florida,0,0,9.2,12,38.6,17.5
Linkoping University,0,0,13,10.7,34.5,19.7
University of Iowa,0,0,13,13.4,41.4,15.7
University of Kentucky,9,0,6.5,7.5,39.2,17.7
Zhejiang University of Technology,0,0,14.6,7.4,43.3,15.5
University College Cork,0,0,25.2,10.2,25.8,15.9
ShanghaiTech University,0,0,6.5,21.3,27.6,26.4
Beijing University of Technology,0,0,9.2,7.8,46.7,16.8
Huazhong Agricultural University,0,0,18.4,10.1,39,16.1
Nanjing University of Information Science & Technology,0,0,14.6,7.4,42,15.1
Southern Medical University,0,0,9.2,3.2,49,23.8
Ocean University of China,0,0,13,9.2,44.7,16.8
NanJing Tech University,0,0,14.6,11.5,41.5,14.9
Northwest University,0,0,9.2,12,36.6,14.7
Guangxi University,0,0,9.2,6.9,45.7,16.8
University of Pavia,0,0,9.2,6.6,34.5,23.3
University of Bari,0,0,9.2,6.2,35.6,19.6
University of Vermont,12.7,0,6.5,8.9,26.1,20.8
Bar-Ilan University,0,0,9.2,8.3,29.6,19.3
University of Twente,0,0,9.2,6.3,31.6,18.3
University of South Carolina - Columbia,0,0,9.2,8.7,35,16.2
University of Central Florida,0,0,11.3,12.1,31.9,18.3
Eindhoven University of Technology,0,0,11.3,10,31.9,21.9
Drexel University,0,0,11.3,6.4,28.6,20.9
Chalmers University of Technology,0,0,9.2,11.4,30.3,23.3
Guangzhou University,0,0,11.3,5,39.5,14.8
Kunming University of Science and Technology,0,0,6.5,7.9,42.6,13.6
Hohai University,0,0,6.5,0,46.5,16.4
Ningbo University,0,0,0,2.9,44.9,17.2
Henan University,0,0,11.3,8.7,36.8,11.7
National University of Defense Technology,0,0,6.5,4.5,38.2,16.6
China University of Mining and Technology,0,0,6.5,1.4,45.1,16.7
Nanjing University of Posts and Telecommunications,0,0,14.6,3,35.3,13.3
Xidian University,0,0,11.3,1.4,44,14.7
Yunnan University,0,0,6.5,11.7,37.6,14
Hainan University,0,0,11.3,3.8,40.2,13.9
South China Agricultural University,0,0,11.3,5.5,38.2,13.3
University of Alabama at Birmingham,0,0,0,9.2,41.5,14
Sao Paulo State University,0,0,6.5,4.5,43.2,18.6
Okinawa Institute of Science and Technology Graduate University,0,20.6,9.2,11.8,14.4,12.4
Hefei University of Technology,0,0,9.2,2,42.5,14.9
The University of Georgia,0,0,0,13.2,42.3,18.1
Texas Tech University,0,0,9.2,7.8,33.2,16.7
Temple University,0,0,13,8.9,32.2,12.6
Aalto University,0,0,6.5,12.4,31.7,14.7
Louisiana State University - Baton Rouge,0,0,9.2,9.3,31.9,17.8
Masaryk University,0,0,6.5,10.3,30.1,22
University of Turku,0,0,6.5,12.4,36.1,16.4
Vita-Salute San Raffaele University,0,0,15.9,6.6,22.9,27.2
Federal University of Rio Grande do Sul,0,0,6.5,5.9,37,16.1
Utah State University,12.7,0,6.5,10.7,26.1,16.7
University of Otago,0,0,6.5,12,33.1,21.1
National Yang Ming Chiao Tung University,0,0,0,6.9,43,21.4
The University of Texas Health Science Center at San Antonio,0,0,17.2,8.9,24.1,18.2
"University at Buffalo, the State University of New York",0,0,9.2,10.4,36.3,15.9
Victoria University of Wellington,10.4,0,11.3,10.1,25.5,21
Washington State University,0,0,15.9,9.9,28.2,15.3
University of Campinas,0,0,6.5,7.2,40.7,17.7
University of Canterbury,0,0,13,8.8,24.5,22.5
Catholic University of the Sacred Heart,0,0,11.3,1.4,35.9,22.4
Saint Petersburg State University,26,0,0,8,32.9,16.3
University of Catania,0,0,13,4.3,31.1,18.7
China Medical University (Taichung),0,0,6.5,3.5,38.3,28.4
Nanjing Forestry University,0,0,9.2,1.4,45.1,17.3
Stellenbosch University,0,0,6.5,11.7,32.7,15
Nanjing Normal University,0,0,11.3,5.5,38.3,14.1
University of Tehran,11.6,0,0,3.8,42.5,18.4
University of South Australia,0,0,11.3,9.3,28,21.5
Jagiellonian University,9,0,0,9.5,37.8,11.3
University of Malaya,0,0,9.2,4.7,37,16.3
The University of Texas Medical Branch at Galveston,0,0,13,12.7,22.4,18.9
Aalborg University,0,0,13,5,37.5,17
Taif University,0,0,15.9,1.4,31.7,15
King Khalid University,0,0,0,1.4,45.8,19.4
Tehran University of Medical Sciences,0,0,9.2,4.3,37,16.3
Flinders University,14.7,0,0,7.2,31.3,24.4
University of Chile,5.2,0,6.5,9,33.3,15
University of Halle-Wittenberg,0,0,6.5,13.2,24.3,24.9
The University of Reading,0,0,13,11.8,27.7,22.1
University of Bayreuth,0,0,9.2,16.4,22.9,28.1
Leibniz University Hannover,0,0,9.2,7.5,27.6,26.9
Saarland University,0,0,11.3,8.6,25.9,27.6
Technical University Darmstadt,12.7,0,0,10.6,28.2,28.8
University of Surrey,0,0,13,5.6,32.2,23
Hannover Medical School,0,0,13,7.5,28.3,30.4
University of Kent,18.7,0,11.3,6.9,24.3,20.4
